symbol,date,pe
SBIN,2023-09-29,9.827345296826227
SBIN,2023-10-03,9.899587482296647
SBIN,2023-10-04,9.625396872043932
SBIN,2023-10-05,9.722266938636855
SBIN,2023-10-06,9.756745571363936
SBIN,2023-10-09,9.606515095672263
SBIN,2023-10-10,9.714057644929353
SBIN,2023-10-11,9.659875504771014
SBIN,2023-10-12,9.622112954138723
SBIN,2023-10-13,9.45956953999685
SBIN,2023-10-16,9.45136024628935
SBIN,2023-10-17,9.46449491579914
SBIN,2023-10-18,9.402104484044347
SBIN,2023-10-19,9.378297331870387
SBIN,2023-10-20,9.245306172542257
SBIN,2023-10-23,9.078658111546632
SBIN,2023-10-25,9.132018520645383
SBIN,2023-10-26,8.98096731600517
SBIN,2023-10-27,9.213290728771844
SBIN,2023-10-30,9.279785807380385
SBIN,2023-10-31,9.285531912131217
SBIN,2023-11-01,9.299488312700596
SBIN,2023-11-02,9.39307345927726
SBIN,2023-11-03,9.49240671482685
SBIN,2023-11-06,9.43001528096101
SBIN,2023-11-07,9.51867605384643
SBIN,2023-11-08,9.527706076502472
SBIN,2023-11-09,9.495689630621012
SBIN,2023-11-10,9.514571406992681
SBIN,2023-11-13,9.544945392866012
SBIN,2023-11-15,9.599948261972893
SBIN,2023-11-16,9.599127533024351
SBIN,2023-11-17,9.244485443593716
SBIN,2023-11-20,9.255978655206427
SBIN,2023-11-21,9.219036833522676
SBIN,2023-11-22,9.177169636036634
SBIN,2023-11-23,9.193588223451634
SBIN,2023-11-24,9.200155057151006
SBIN,2023-11-28,9.267471866819136
SBIN,2023-11-29,9.335608403324757
SBIN,2023-11-30,9.272397242621427
SBIN,2023-12-01,9.387327354526429
SBIN,2023-12-04,9.764134136122895
SBIN,2023-12-05,9.98660579517394
SBIN,2023-12-06,9.98988971307915
SBIN,2023-12-07,10.0432501221779
SBIN,2023-12-08,10.08347586176686
SBIN,2023-12-11,10.085117319663942
SBIN,2023-12-12,10.05474333379061
SBIN,2023-12-13,10.177061008343523
SBIN,2023-12-14,10.239452442209364
SBIN,2023-12-15,10.643349291773951
